INFO  - 2014-11-07 15:58:31.238; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-07 15:58:31.261; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-11-07 15:58:31.261; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-11-07 15:58:31.307; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/apps/biodiv/solr/wikwio/data/index lockFactory=NativeFSLockFactory@/apps/biodiv/solr/wikwio/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_ai,generation=378}
INFO  - 2014-11-07 15:58:31.307; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 378
INFO  - 2014-11-07 15:58:31.351; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@45459e10[wikwio] main
INFO  - 2014-11-07 15:58:31.358; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /apps/biodiv/solr/wikwio/conf
INFO  - 2014-11-07 15:58:31.358; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/apps/biodiv/solr/wikwio/conf}
INFO  - 2014-11-07 15:58:31.370; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/apps/biodiv/solr/wikwio/conf
INFO  - 2014-11-07 15:58:31.373; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/apps/biodiv/solr/wikwio/conf
INFO  - 2014-11-07 15:58:31.373; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-11-07 15:58:31.374; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2014-11-07 15:58:31.374; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-11-07 15:58:31.381; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-11-07 15:58:31.387; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-11-07 15:58:31.388; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-11-07 15:58:31.389; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
